,input,choice,label,demographic,year
0,Aims of respondent: first choice,maintaining order in the nation,6301,male,2017
1,Aims of respondent: first choice,Giving people more say in important government decisions,3916,male,2017
2,Aims of respondent: first choice,Fighting rising prices  ,2667,male,2017
3,Aims of respondent: first choice,Protecting freedom of speech,3561,male,2017
4,Aims of respondent: first choice,maintaining order in the nation,7080,female,2017
5,Aims of respondent: first choice,Giving people more say in important government decisions,4374,female,2017
6,Aims of respondent: first choice,Fighting rising prices  ,3964,female,2017
7,Aims of respondent: first choice,Protecting freedom of speech,3717,female,2017
8,Aims of respondent: first choice,maintaining order in the nation,12505,male,2018
9,Aims of respondent: first choice,Giving people more say in important government decisions,6898,male,2018
10,Aims of respondent: first choice,Fighting rising prices  ,6517,male,2018
11,Aims of respondent: first choice,Protecting freedom of speech,3803,male,2018
12,Aims of respondent: first choice,maintaining order in the nation,13679,female,2018
13,Aims of respondent: first choice,Giving people more say in important government decisions,7889,female,2018
14,Aims of respondent: first choice,Fighting rising prices  ,8807,female,2018
15,Aims of respondent: first choice,Protecting freedom of speech,4192,female,2018
16,Aims of respondent: first choice,maintaining order in the nation,2036,male,2019
17,Aims of respondent: first choice,Giving people more say in important government decisions,1196,male,2019
18,Aims of respondent: first choice,Fighting rising prices  ,1277,male,2019
19,Aims of respondent: first choice,Protecting freedom of speech,511,male,2019
20,Aims of respondent: first choice,maintaining order in the nation,2179,female,2019
21,Aims of respondent: first choice,Giving people more say in important government decisions,1323,female,2019
22,Aims of respondent: first choice,Fighting rising prices  ,1612,female,2019
23,Aims of respondent: first choice,Protecting freedom of speech,536,female,2019
24,Aims of respondent: first choice,maintaining order in the nation,4100,male,2020
25,Aims of respondent: first choice,Giving people more say in important government decisions,2608,male,2020
26,Aims of respondent: first choice,Fighting rising prices  ,2663,male,2020
27,Aims of respondent: first choice,Protecting freedom of speech,1563,male,2020
28,Aims of respondent: first choice,maintaining order in the nation,4785,female,2020
29,Aims of respondent: first choice,Giving people more say in important government decisions,2818,female,2020
30,Aims of respondent: first choice,Fighting rising prices  ,3378,female,2020
31,Aims of respondent: first choice,Protecting freedom of speech,1432,female,2020
32,Aims of respondent: first choice,maintaining order in the nation,1550,male,2021
33,Aims of respondent: first choice,Giving people more say in important government decisions,635,male,2021
34,Aims of respondent: first choice,Fighting rising prices  ,690,male,2021
35,Aims of respondent: first choice,Protecting freedom of speech,252,male,2021
36,Aims of respondent: first choice,maintaining order in the nation,2057,female,2021
37,Aims of respondent: first choice,Giving people more say in important government decisions,774,female,2021
38,Aims of respondent: first choice,Fighting rising prices  ,925,female,2021
39,Aims of respondent: first choice,Protecting freedom of speech,303,female,2021
40,Aims of respondent: first choice,maintaining order in the nation,748,male,2022
41,Aims of respondent: first choice,Giving people more say in important government decisions,170,male,2022
42,Aims of respondent: first choice,Fighting rising prices  ,303,male,2022
43,Aims of respondent: first choice,Protecting freedom of speech,315,male,2022
44,Aims of respondent: first choice,maintaining order in the nation,678,female,2022
45,Aims of respondent: first choice,Giving people more say in important government decisions,179,female,2022
46,Aims of respondent: first choice,Fighting rising prices  ,366,female,2022
47,Aims of respondent: first choice,Protecting freedom of speech,387,female,2022
48,Important in life: Leisure time,Very important,7189,male,2017
49,Important in life: Leisure time,Rather important,7792,male,2017
50,Important in life: Leisure time,Not Very Important,1567,male,2017
51,Important in life: Leisure time,Not at All Important,200,male,2017
52,Important in life: Leisure time,Very important,8534,female,2017
53,Important in life: Leisure time,Rather important,9072,female,2017
54,Important in life: Leisure time,Not Very Important,1735,female,2017
55,Important in life: Leisure time,Not at All Important,220,female,2017
56,Important in life: Leisure time,Very important,11977,male,2018
57,Important in life: Leisure time,Rather important,13103,male,2018
58,Important in life: Leisure time,Not Very Important,3954,male,2018
59,Important in life: Leisure time,Not at All Important,899,male,2018
60,Important in life: Leisure time,Very important,13821,female,2018
61,Important in life: Leisure time,Rather important,15643,female,2018
62,Important in life: Leisure time,Not Very Important,4555,female,2018
63,Important in life: Leisure time,Not at All Important,893,female,2018
64,Important in life: Leisure time,Very important,2124,male,2019
65,Important in life: Leisure time,Rather important,2166,male,2019
66,Important in life: Leisure time,Not Very Important,627,male,2019
67,Important in life: Leisure time,Not at All Important,138,male,2019
68,Important in life: Leisure time,Very important,2469,female,2019
69,Important in life: Leisure time,Rather important,2419,female,2019
70,Important in life: Leisure time,Not Very Important,671,female,2019
71,Important in life: Leisure time,Not at All Important,163,female,2019
72,Important in life: Leisure time,Very important,4252,male,2020
73,Important in life: Leisure time,Rather important,5148,male,2020
74,Important in life: Leisure time,Not Very Important,1502,male,2020
75,Important in life: Leisure time,Not at All Important,232,male,2020
76,Important in life: Leisure time,Very important,4859,female,2020
77,Important in life: Leisure time,Rather important,5977,female,2020
78,Important in life: Leisure time,Not Very Important,1638,female,2020
79,Important in life: Leisure time,Not at All Important,263,female,2020
80,Important in life: Leisure time,Very important,1348,male,2021
81,Important in life: Leisure time,Rather important,1230,male,2021
82,Important in life: Leisure time,Not Very Important,466,male,2021
83,Important in life: Leisure time,Not at All Important,91,male,2021
84,Important in life: Leisure time,Very important,1754,female,2021
85,Important in life: Leisure time,Rather important,1645,female,2021
86,Important in life: Leisure time,Not Very Important,562,female,2021
87,Important in life: Leisure time,Not at All Important,111,female,2021
88,Important in life: Leisure time,Very important,695,male,2022
89,Important in life: Leisure time,Rather important,662,male,2022
90,Important in life: Leisure time,Not Very Important,185,male,2022
91,Important in life: Leisure time,Not at All Important,55,male,2022
92,Important in life: Leisure time,Very important,844,female,2022
93,Important in life: Leisure time,Rather important,652,female,2022
94,Important in life: Leisure time,Not Very Important,154,female,2022
95,Important in life: Leisure time,Not at All Important,46,female,2022
96,"Member: Belong to education, arts, music or cultural activities",not mentioned,13780,male,2017
97,"Member: Belong to education, arts, music or cultural activities",mentioned,2796,male,2017
98,"Member: Belong to education, arts, music or cultural activities",not mentioned,15738,female,2017
99,"Member: Belong to education, arts, music or cultural activities",mentioned,3534,female,2017
100,"Member: Belong to education, arts, music or cultural activities",not mentioned,25171,male,2018
101,"Member: Belong to education, arts, music or cultural activities",mentioned,4468,male,2018
102,"Member: Belong to education, arts, music or cultural activities",not mentioned,29333,female,2018
103,"Member: Belong to education, arts, music or cultural activities",mentioned,5314,female,2018
104,"Member: Belong to education, arts, music or cultural activities",not mentioned,4281,male,2019
105,"Member: Belong to education, arts, music or cultural activities",mentioned,742,male,2019
106,"Member: Belong to education, arts, music or cultural activities",not mentioned,4831,female,2019
107,"Member: Belong to education, arts, music or cultural activities",mentioned,852,female,2019
108,"Member: Belong to education, arts, music or cultural activities",not mentioned,8764,male,2020
109,"Member: Belong to education, arts, music or cultural activities",mentioned,2320,male,2020
110,"Member: Belong to education, arts, music or cultural activities",not mentioned,10330,female,2020
111,"Member: Belong to education, arts, music or cultural activities",mentioned,2328,female,2020
112,"Member: Belong to education, arts, music or cultural activities",not mentioned,2405,male,2021
113,"Member: Belong to education, arts, music or cultural activities",mentioned,712,male,2021
114,"Member: Belong to education, arts, music or cultural activities",not mentioned,3334,female,2021
115,"Member: Belong to education, arts, music or cultural activities",mentioned,728,female,2021
116,"Member: Belong to education, arts, music or cultural activities",not mentioned,1202,male,2022
117,"Member: Belong to education, arts, music or cultural activities",mentioned,348,male,2022
118,"Member: Belong to education, arts, music or cultural activities",not mentioned,1154,female,2022
119,"Member: Belong to education, arts, music or cultural activities",mentioned,478,female,2022
120,Important child qualities: religious faith,not mentioned,14044,male,2017
121,Important child qualities: religious faith,mentioned,2506,male,2017
